"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 09 11:18:55 GMT 2023","Thu Mar 09 11:18:56 GMT 2023","850","firefox","demo-todo-app.spec.ts","Editing","","","should trim entered text",""
"passed","Thu Mar 09 11:18:48 GMT 2023","Thu Mar 09 11:18:48 GMT 2023","685","firefox","demo-todo-app.spec.ts","New Todo","","","should append new items to the bottom of the list",""
"passed","Thu Mar 09 11:18:40 GMT 2023","Thu Mar 09 11:18:40 GMT 2023","614","chromium","demo-todo-app.spec.ts","Routing","","","should allow me to display all items",""
"failed","Thu Mar 09 11:20:45 GMT 2023","Thu Mar 09 11:20:46 GMT 2023","953","webkit","demo-todo-app.spec.ts","Routing","","","should highlight the currently applied filter",""
"passed","Thu Mar 09 11:18:56 GMT 2023","Thu Mar 09 11:18:56 GMT 2023","735","firefox","demo-todo-app.spec.ts","Editing","","","should remove the item if an empty text string was entered",""
"failed","Thu Mar 09 11:20:01 GMT 2023","Thu Mar 09 11:20:02 GMT 2023","955","webkit","demo-todo-app.spec.ts","Editing","","","should remove the item if an empty text string was entered",""
"failed","Thu Mar 09 11:19:13 GMT 2023","Thu Mar 09 11:19:14 GMT 2023","944","webkit","demo-todo-app.spec.ts","New Todo","","","should allow me to add todo items",""
"passed","Thu Mar 09 11:18:50 GMT 2023","Thu Mar 09 11:18:51 GMT 2023","832","firefox","demo-todo-app.spec.ts","Mark all as completed","","","complete all checkbox should update state when items are completed / cleared",""
"passed","Thu Mar 09 11:18:35 GMT 2023","Thu Mar 09 11:18:35 GMT 2023","495","chromium","demo-todo-app.spec.ts","Editing","","","should remove the item if an empty text string was entered",""
"passed","Thu Mar 09 11:18:51 GMT 2023","Thu Mar 09 11:18:51 GMT 2023","708","firefox","demo-todo-app.spec.ts","Item","","","should allow me to mark items as complete",""
"passed","Thu Mar 09 11:19:00 GMT 2023","Thu Mar 09 11:19:00 GMT 2023","839","firefox","demo-todo-app.spec.ts","Clear completed button","","","should be hidden when there are no items that are completed",""
"passed","Thu Mar 09 11:18:38 GMT 2023","Thu Mar 09 11:18:38 GMT 2023","495","chromium","demo-todo-app.spec.ts","Routing","","","should allow me to display active items",""
"passed","Thu Mar 09 11:18:56 GMT 2023","Thu Mar 09 11:18:57 GMT 2023","870","firefox","demo-todo-app.spec.ts","Editing","","","should cancel edits on escape",""
"passed","Thu Mar 09 11:19:07 GMT 2023","Thu Mar 09 11:19:08 GMT 2023","1105","firefox","example.spec.ts","","","","get started link",""
"failed","Thu Mar 09 11:20:49 GMT 2023","Thu Mar 09 11:20:50 GMT 2023","944","webkit","example.spec.ts","","","","has title",""
"passed","Thu Mar 09 11:19:04 GMT 2023","Thu Mar 09 11:19:05 GMT 2023","1134","firefox","demo-todo-app.spec.ts","Routing","","","should allow me to display all items",""
"passed","Thu Mar 09 11:18:40 GMT 2023","Thu Mar 09 11:18:41 GMT 2023","493","chromium","demo-todo-app.spec.ts","Routing","","","should highlight the currently applied filter",""
"passed","Thu Mar 09 11:19:06 GMT 2023","Thu Mar 09 11:19:07 GMT 2023","747","firefox","example.spec.ts","","","","has title",""
"failed","Thu Mar 09 11:20:05 GMT 2023","Thu Mar 09 11:20:06 GMT 2023","962","webkit","demo-todo-app.spec.ts","Editing","","","should cancel edits on escape",""
